Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,0.4615969320386648,0.17262103052359004,93.04,214.16
2,0.2311859919577837,0.27429226219309655,91.12,243.08
3,0.2107720896244049,0.17903205485047918,94.56,252.47
4,0.15825890668202192,0.21419433084802975,91.32,256.93
5,0.13942732372079045,0.07890350811638223,97.08,262.31
Total time (s),,,,1228.95
Test Accuracy,,,97.24,
Precision Score,,,0.9724,
Recall Score,,,0.9724,
F1-Score,,,0.9724,
Multi-Class ROC-AUC,,,0.9988,
