Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,1.235174170780182,0.7093134405874427,63.72,405.45
2,0.8235318667888641,0.6174566839483513,68.28,414.35
3,0.673570068526268,0.5772830922465035,76.0,416.30
4,0.577825737464428,0.42317709192846764,75.48,414.74
5,0.5628296455025673,0.47302394061776437,79.04,415.24
Total time (s),,,,2066.08
Test Accuracy,,,78.56,
Precision Score,,,0.8208,
Recall Score,,,0.7856,
F1-Score,,,0.7644,
Multi-Class ROC-AUC,,,0.9533,
