Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,1.1088915898799896,0.6601691084096778,60.68,387.36
2,0.6232416114926338,0.8485979886701817,61.68,402.31
3,0.5233929308831692,0.4545086734148933,78.92,404.65
4,0.37671167348623275,0.2633021806787913,92.08,407.70
5,0.3687295707076788,0.2541449166175119,89.44,406.20
Total time (s),,,,2008.23
Test Accuracy,,,89.96,
Precision Score,,,0.9127,
Recall Score,,,0.8996,
F1-Score,,,0.8983,
Multi-Class ROC-AUC,,,0.9926,
