Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,0.49276861800551414,0.15950054752456536,93.88,496.38
2,0.2412279896557331,0.1190722832503687,95.72,518.66
3,0.1805170129587874,0.18784909439078534,93.32,518.24
4,0.13813433351926505,0.07769822115271996,97.08,517.49
5,0.10224986838065088,0.07884090251658415,97.08,518.57
Total time (s),,,,2569.34
Test Accuracy,,,97.0,
Precision Score,,,0.9708,
Recall Score,,,0.9700,
F1-Score,,,0.9700,
Multi-Class ROC-AUC,,,0.9988,
