Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,0.5228427847146988,0.31033269251834594,88.32,245.53
2,0.2706025919079781,0.14370125137450424,94.16,273.98
3,0.1824227854281664,0.15824542020734975,94.44,279.79
4,0.15851806520354003,0.10197734105267549,95.76,280.65
5,0.14014146580295636,0.11261717808767548,95.12,283.79
Total time (s),,,,1363.74
Test Accuracy,,,96.24,
Precision Score,,,0.9630,
Recall Score,,,0.9624,
F1-Score,,,0.9623,
Multi-Class ROC-AUC,,,0.9977,
