Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,0.4183443421021104,0.1615963101713376,93.64,233.62
2,0.22420418295711278,0.10339773892189968,96.28,257.68
3,0.1706477562719956,0.10836610209263911,96.12,259.23
4,0.13866321592163294,0.1268313959680066,93.4,256.77
5,0.12116681024588179,0.12890842111493353,95.08,257.84
Total time (s),,,,1265.12
Test Accuracy,,,94.96,
Precision Score,,,0.9532,
Recall Score,,,0.9496,
F1-Score,,,0.9494,
Multi-Class ROC-AUC,,,0.9990,
