Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,1.0198286976218223,0.48436937891658705,78.28,361.33
2,0.5329809509813785,0.4111498241864477,85.92,390.58
3,0.4217516221702099,0.2728514331422604,89.88,400.83
4,0.36160915452390907,0.21663295202755078,92.88,406.94
5,0.30237531784027816,0.18256351336364185,92.64,405.17
Total time (s),,,,1964.85
Test Accuracy,,,93.28,
Precision Score,,,0.9354,
Recall Score,,,0.9328,
F1-Score,,,0.9329,
Multi-Class ROC-AUC,,,0.9952,
